roundID,text,playerID,director_msg,chit_chat
01JJCZ2GM0ZSSBAY20FBPBD63K,-V-,01JJCYS69ZW8KDW44YG835MEP2,TRUE,TRUE
01JJCQCCR1K3495DZT2CQVX1ZN,:),01JJCQ4ZCC4T8YHJHHKXA0W6FE,TRUE,TRUE
01JJCQXD2MNJYYD900HAWHMQVR,?,01JJCQJ8BZEK52PZEG02PAT090,TRUE,TRUE
01JJCQXD2MNJYYD900HAWHMQVR,?,01JJCQJ8BZEK52PZEG02PAT090,TRUE,TRUE
01JJCYVTXDTRFCZN5V9HMT4EPQ,"""arms"" pointing up diagonally",01JJCYQR8STQ9CM2GPNKFN61RA,TRUE,FALSE
01JJCYSE57SHNN32Z018N5Q3SR,"""Turtle"" facing right, 2 triangle cutouts on left",01JJCYP309XG658XDN7G4K10N1,TRUE,FALSE
01JJCYSE2VA41ER9XZK47QEQJ9,1 spike on top,01JJCYNBHFHBDA4Z2A2SYS5P3C,TRUE,FALSE
01JJCQXD4J6J0BGR3QFR2S2K19,1 stand with a Crown,01JJCQJ1TAQ3W7CMZF13BSD338,TRUE,FALSE
01JJCQXD6Y6VD46QNS9MCGMZHY,1 stand with crown,01JJCQJ1TAQ3W7CMZF13BSD338,TRUE,FALSE
01JJCQXD9P6QSCK8AG429ETX2C,1 stand with crown,01JJCQJ1TAQ3W7CMZF13BSD338,TRUE,FALSE
01JJCQXD7576D0Y749YP5ZD6RY,1 stand with shape bits,01JJCQJ1TAQ3W7CMZF13BSD338,TRUE,FALSE
01JJCQXD1YRBG0TTJSW1WZ191H,1 stand with sideways arrow,01JJCQJ1TAQ3W7CMZF13BSD338,TRUE,FALSE
01JJCQXD22VH8DSJVMDANA8F92,thank you,01JJCQJ8BZEK52PZEG02PAT090,FALSE,FALSE
01JJCR8EFGS9ADS3XWV16HQQXM,2 adjacent triagles with a gap looking like a C AT the bottom,01JJCR0A4DMX902FP0YHHQZME1,TRUE,FALSE
01JJCQXD9AMVSSBDET20XXS4B5,2 crowns on top of each other,01JJCQJ1TAQ3W7CMZF13BSD338,TRUE,FALSE
01JJCRQYH2XD8G7GW15YRQ8VBZ,hello,01JJCQ0E0Q9WRVTH0SCJXHNE74,FALSE,FALSE
01JJCQXD7R08KY54KQJWHJSR8V,2 crowns on top of each other,01JJCQJ1TAQ3W7CMZF13BSD338,TRUE,FALSE
01JJCZ7B09SZYTR9W95R5CZXVX,2 horns,01JJCYQCM4D6FAHAJMSHH23Q4J,TRUE,FALSE
01JJCQ5DCT2KJ7ZH8XZ4VXD9TY,hello what image am i selecting,01JJCPV0R187WSV116Q0PSARTE,FALSE,FALSE
01JJCZ7B127WQH8F5903YBE0K0,2 horns,01JJCYV3JJSNARYX5GCPMAAJ52,TRUE,FALSE
01JJCQCCNE81GFP9V06W351NJ4,What does it look like?,01JJCQA2M39H192J9KV1PNP774,FALSE,FALSE
01JJCZ2HE8CSZ4JGDBFNF1D364,2 large trainles pointing up,01JJCYRSZZPMN7PNNKST7NQEXB,TRUE,FALSE
01JJCZ2HH3HCT3D0DK3A4K37WM,2 large triangles pointing up,01JJCYS69ZW8KDW44YG835MEP2,TRUE,FALSE
01JJCZ2HV5293X7ZA5E80YPB99,2 large triangles pointing up,01JJCYRSZZPMN7PNNKST7NQEXB,TRUE,FALSE
01JJCZ2HSPBDGYDTGJ0D795MJZ,2 large triangles pointing up,01JJCYS69ZW8KDW44YG835MEP2,TRUE,FALSE
01JJCZ2HEYHVATMXN04SB1VN9T,2 lge triangles pointing up,01JJCYS69ZW8KDW44YG835MEP2,TRUE,FALSE
01JJCZ2HXC2YPKP5D9GE5KTANP,2 lge triangles pointing up,01JJCYS69ZW8KDW44YG835MEP2,TRUE,FALSE
01JJCYVW2DKR2W7EBBMZY4RYMB,2 sections,01JJCYQR8STQ9CM2GPNKFN61RA,TRUE,FALSE
01JJCQXD13YQMG5RZHY0YHY01E,has one up arrow,01JJCQJ8BZEK52PZEG02PAT090,FALSE,FALSE
01JJCYVVWJW2RTRD4N1B0DXK0R,2 sections touching,01JJCYRDK1G40MQ3FRMYNSH2R3,TRUE,FALSE
01JJCQXD13YQMG5RZHY0YHY01E,looks like pointing side ways,01JJCQJ8BZEK52PZEG02PAT090,FALSE,FALSE
01JJCYVV88G611KFKKW4EXKYQ1,"2 sections, barely touching",01JJCYQR8STQ9CM2GPNKFN61RA,TRUE,FALSE
01JJCQXD13YQMG5RZHY0YHY01E,directional,01JJCQJ8BZEK52PZEG02PAT090,FALSE,FALSE
01JJCYVV52W0Z304Z6SAWDE9N1,"2 sections, barely touching",01JJCYQR8STQ9CM2GPNKFN61RA,TRUE,FALSE
01JJCYVW12GT10E5F61CVMDTBQ,"2 sections, barely touching",01JJCYQR8STQ9CM2GPNKFN61RA,TRUE,FALSE
01JJCQXD7WP3WQNJ5043JKQRMW,2 Sstand,01JJCQJ8BZEK52PZEG02PAT090,TRUE,FALSE
01JJCQXD6QBMWQJ8W1Y2HRZZ96,2 stand,01JJCQJ1TAQ3W7CMZF13BSD338,TRUE,FALSE
01JJCQXD8K6Z0PGMCMD1RXFRP1,2 stand with crown,01JJCQJ1TAQ3W7CMZF13BSD338,TRUE,FALSE
01JJCQXD7KEXTZ6W0SSY7V9AE2,2 stand with crown,01JJCQJ8BZEK52PZEG02PAT090,TRUE,FALSE
01JJCQXD839C0B7M4DHAD577ER,2 stand with sideways arrow,01JJCQJ1TAQ3W7CMZF13BSD338,TRUE,FALSE
01JJCQXD8PWQ8KQXGAY9ZAJHZ2,2 stand with sideways arrow,01JJCQJ1TAQ3W7CMZF13BSD338,TRUE,FALSE
01JJCQXD3RP2YM4K97N8N1S97A,2 stands,01JJCQJ8BZEK52PZEG02PAT090,TRUE,FALSE
01JJCQXD38QAJ5KV9ED7M024A1,2 stands,01JJCQJ8BZEK52PZEG02PAT090,TRUE,FALSE
01JJCQXD3KC70WHY4JCCKJ6Z5P,2 stands,01JJCQJ1TAQ3W7CMZF13BSD338,TRUE,FALSE
01JJCQXD97QMCWPQ3CZQ0X9A6X,2 stands,01JJCQJ8BZEK52PZEG02PAT090,TRUE,FALSE
01JJCR8EFPYKE6WX0BN54VZ7H6,2 triangles at the sides,01JJCR0A4DMX902FP0YHHQZME1,TRUE,FALSE
01JJCZ2H46J1NN4747X1G2T9MA,2 triangles pointing up,01JJCYS69ZW8KDW44YG835MEP2,TRUE,FALSE
01JJCZ2HAM4WNNEQRE61K2J2EZ,2 triangles pointing up,01JJCYRSZZPMN7PNNKST7NQEXB,TRUE,FALSE
01JJCZ2HBBW882N1MYXBY643J0,2 triangles pointing up,01JJCYS69ZW8KDW44YG835MEP2,TRUE,FALSE
01JJCZ2GZ64G6XHZSNB29KNE61,2 triangles pointing up,01JJCYRSZZPMN7PNNKST7NQEXB,TRUE,FALSE
01JJCYSE6NKRV8YPQR6E68AH9R,2 v notch on top with triangle face on the left,01JJCYNBHFHBDA4Z2A2SYS5P3C,TRUE,FALSE
01JJCZ2GRD6HX3M0MB7V66C2J6,2large triangles on top of a diamond,01JJCYS69ZW8KDW44YG835MEP2,TRUE,FALSE
01JJCZ2HY3FET215VA8JPDGF76,3 large traingles pointing up,01JJCYRSZZPMN7PNNKST7NQEXB,TRUE,FALSE
01JJCZY1HDCA3VVQZVV2NB436S,hi,01JJCYWS592MN4WFV0VERQ1V9C,FALSE,FALSE
